artist,format,genre,length,producer,recorded,release,song,songwriter,year
Aaliyah,CD,"
,
,
,R&B,
,pop,[1],[2],[3],
,
,
","
,Length,
,4,:,30, ,(album version),
3:53 ,(radio remix),
","
,
,
,Daryl Simmons ,(album version),
,Guy Roche, ,(single version),
,
,
","Summer 1996 ,
1997 ","September 16, 1997",The One I Gave My Heart To,Diane Warren,1997
Bruce Springsteen,CD,Soft rock,"
,Length,
,4,:,30,
","Bruce Springsteen,
,Jon Landau,
,Chuck Plotkin",,"April 11, 1995",Secret Garden,Bruce Springsteen,1997
Montell Jordan,"Vinyl,, ,CD",R&B,"
,Length,
,3,:,59,
","Montell Jordan, ,DeVante Swing, and James Earl Jones",1996,28-Jan-97,What's on Tonight,"Montell Jordan, Donald DeGrate, Jr.",1997
"Scarface,2Pac","
,
,
,Vinyl,
,CD,
,
,
","Hip hop,, ,R&B",,"Scarface, ,Mike Dean,, Tone Capone",Aug-96,13-Feb-97,Smile,"Brad Jordan, Tupac Shakur, Mike Dean, Thomas Anderson, Maximilian Smith",1997
Janet Jackson,"
,
,
,CD single,
,12"",
,7"",
,
,
","
,
,
,Folk-pop,
,dance-pop,
,
,
","
,Length,
,4,:,32, ,(album version),
4:15 ,(single edit),
","
,
,
,Janet Jackson,
,Jimmy Jam and Terry Lewis,
,
,
","2000; Flyte Tyme Studios,
","June 26, 2001",Someone to Call My Lover,"
,
,
,Janet Jackson,
,James Harris III • Terry Lewis,
,Dewey Bunnell,
,
,
",2001
Craig David,"
,
,
,7"",
,CD,
,cassette,
,
,
","
,
,
,R&B,
,2-step garage,
,
,
","
,Length,
,
,
,
,4,:,16, ,(album version),
,3:53 ,(radio edit),
,
,
,
",Mark Hill,1999,3 April 2000,Fill Me In,"
,
,
,Craig David,
,Mark Hill,
,
,
",2001
K-Ci & JoJo,,R&B,"
,Length,
,Main version ,4,:,20,
Radio version 3:37,
",Darrell "Delite" Allamby,,"March 2, 2001",Crazy,"Darrell Allamby, ,Lincoln Browder,, ,Cedric R Hailey,, Joel Hailey",2001
Missy Elliott,"
,
,
,CD single,
,12"",
,
,
","
,
,
,Alternative hip hop,
,dance,
,bhangra,
,
,
","
,Length,
,3,:,56,
",Timbaland,"2001; ,
","March 6, 2001",Get Ur Freak On,"
,
,
,Melissa Elliott,
,Tim Mosley,
,
,
",2001
Madonna,"
,
,
,CD,
,maxi single,
,cassette,
,7"",
,12"",
,
,
","
,
,
,Electronica,
,country pop,
,
,
","
,Length,
,4,:,40,
","
,
,
,Madonna,
,Mirwais Ahmadzaï,
,
,
",2000,21-Nov-00,Don't Tell Me,"
,
,
,Madonna,
,Mirwais Ahmadzaï,
,Joe Henry,
,
,
",2001
"Moby,Gwen Stefani",CD,,"
,Length,
,3,:,48, ,(album version),
3:49 ,(single version),
",Moby,,"December 12, 2000",South Side,Moby,2001
Jagged Edge,CD single,R&B,,"Jermaine Dupri, & co-produced by ,Bryan-Michael Cox",1999,Feb-00,Let's Get Married,"Brian Casey, Brandon Casey, ,Jermaine Dupri,, ,Bryan-Michael Cox",2000
"Mariah Carey,Joe,98 Degrees","
,
,
,CD single,
,cassette single,
,7"" single,
,12"" single,
,
,
","
,
,
,Pop,
,R&B,
,
,
","
,Length,
,4,:,17,
","
,
,
,Mariah Carey,
,Jimmy Jam and Terry Lewis,
,
,
","
,
","January 25, 2000",Thank God I Found You,"
,
,
,Mariah Carey,
,James Harris III,
,Terry Lewis,
,
,
",2000
LeAnn Rimes,"CD,, ,digital download,, ,maxi single,, ,12""",CCM,"
,Length,
,3,:,48,
","Acrynon Production Group ,(,Jesus: Music From and Inspired by the Epic Mini-Series,),[1],[2],
Wilbur C. Rimes, LeAnn Rimes ,(,I Need You,),[3]",2000,18-Jul-00,I Need You,"Dennis Matkosky, Ty Lacy",2000
Third Eye Blind,CD,"Alternative rock,, ,power pop","
,Length,
,3,:,56,
","Stephan Jenkins, The Mud Sisters, ,Arion Salazar, Third Eye Blind",1999,Jan-00,Never Let You Go,Stephan Jenkins,2000
Christina Aguilera,"
,
,
,CD,
,vinyl,
,
,
","
,
,
,Pop,
,R&B,
,
,
,
,
,
,Pop,
,R&B,
,
,
","
,Length,
,4,:,52,
","
,
,
,Jimmy Jam,
,Terry Lewis,
,
,
,Guy Roche,
,
,
,Rudy Pérez,
,Guy Roche,
,Ron Fair, ,(executive producer),
,Diane Warren ,(executive producer),
,
,
","September 1996,1999,2000","June 1997,March 30, 2000",I Turn To You,"Diane Warren,Diane Warren,
,
,
,Rudy Pérez,
,Diane Warren,
,
,
",2000
"P. Diddy,Usher,Loon",CD single,"Pop,, ,R&B,, ,hip hop","
,Length,
,4,:,26,
","Mario Winans,, ,Diddy",2001,"February 26, 2002, (CD promo),
May 7, 2002, (CD single)",I Need a Girl (Part One),"Sean Combs,, ,Nasir Jones,, Chauncey Hawkins, ,Mario Winans,, Michael Carlos Jones, ,Adonis Shropshire",2002
Jimmy Eat World,"
,
,
,7"",
,CD,
,
,
","
,
,
,Alternative rock,
,pop punk,
,power pop,
,
,
","
,Length,
,2,:,46,
","
,
,
,Jimmy Eat World,
,Mark Trombino,
,
,
",,5-Nov-01,The Middle,Jimmy Eat World,2002
"Jennifer Lopez,Ja Rule",Maxi single,Hip hop,"
,Length,
,3,:,54, ,(Murder Inc remix),
,3,:,36, ,(Murder Inc remix radio edit without Caddillac Tah),
","
,
,
,Irv Gotti,
,7,
,Cory Rooney,
,
,
",2001,"
,
11 March, 2002 (,)",Ain't It Funny,"
,
,
,Jennifer Lopez,
,Cory Rooney,
,Irving Lorenzo,
,Jeffery Atkins,
,Caddillac Tah,
,Ashanti Douglas,
,
,
",2002
"Total,Missy Elliott","
,
,
,CD single,
,CD ,maxi single,
,12"",
,cassette,
,
,
","
,
,
,R&B,
,trip hop,
,
,
","
,Length,
,4,:,26,
","
,
,
,Missy Elliott,
,Darryl Pearson,
,Timbaland,
,Puff Daddy,
,Mario Winans,
,
,
",1998,"October 17, 1998",Trippin',"
,
,
,Melissa Elliott,
,Darryl Pearson,
,Tim Mosley,
,Sean ""Puffy"" Combs,Mario Winans,
,Keisha Spivey,
,Jakima Raynor,
,
,
",1999
Jesse Powell,"CD single,, ,12""","R&B,, ,quiet storm","
,Length,
,5,:,18,
",Carl Roland,,2-Feb-99,You,"Jesse Powell, Carl Roland",1999
Faith Evans,"
,
,
,CD,
,maxi,
,12"",
,cassette,
,
,
","
,
,
,R&B,
,disco,
,funk,
,
,
","
,Length,
,4,:,01,
","
,
,
,Faith Evans,
,Ron Lawrence,
,Sean ""Puffy"" Combs,
,
,
",1997–98,"September 15, 1998",Love Like This,"
,
,
,Faith Evans,
,Ron Lawrence,
,Sean Combs,
,Schon Crawford,
,Clarence Emery,
,Bernard Edwards,
,Nile Rodgers,
,
,
",1999
Shania Twain,"
,
,
,CD single,
,cassette single,
,7"",
,
,
","
,
,
,Country pop,
,adult contemporary,
,
,
","
,Length,
,4,:,01,
",Robert John "Mutt" Lange,1997,14-Mar-98,From This Moment On,"
,
,
,Robert John ""Mutt"" Lange,
,Shania Twain,
,
,
",1999
3 Doors Down,"CD,, ,digital download","Post-grunge,, ,hard rock","
,Length,
,4,:,20,
",,,21-Oct-02,When I'm Gone,"Brad Arnold, Todd Harrell, Chris Henderson, Matt Roberts",2003
Tim McGraw,CD single,"Country,
,
,
,Country,
,country pop,
,
,
","
,Length,
,3,:,45,
","
,
,
,Tony Brown,
,Rodney Crowell,
,
,
,
,
,
,Byron Gallimore,
,Tim McGraw,
,James Stroud,
,
,
",,"1995,March 22, 1999",Please Remember Me,"
,
,
,Rodney Crowell,
,Will Jennings,
,
,
,
,
,
,Rodney Crowell,
,Will Jennings,
,
,
",1999
"Beyoncé,Jay-Z","
,
,
,7"",
,CD,
,DVD,
,
,
,Digital download","
,
,
,Hip hop,
,funk,[1],
,contemporary R&B,[2],
,
,
,
,
,
,R&B,
,
,
","
,Length,
,3,:,56,
","
,
,
,Rich Harrison,
,Beyoncé,
,
,
,
,
,
,Boots,
,Margot,
,
,
","December 2002 – March 2003,2015","May 18, 2003,September 4, 2015",Crazy in Love,"
,
,
,Beyoncé,
,Rich Harrison,
,Eugene Record,
,Shawn Carter,
,
,
,
,
,
,Beyoncé Knowles,
,Rich Harrison,
,Shawn Carter,
,Eugene Record,
,
,
",2003
Sean Paul,"
,
,
,CD single,
,CD maxi,
,12-inch single,
,
,
","
,
,
,Reggae,
,dancehall,
,reggae fusion,
,
,
","
,Length,
,3,:,32,
",Steven "Lenky" Marsden,,4 March 2003,Get Busy,"
,
,
,Sean Paul Henriques,
,Steven ""Lenky"" Marsden,
,
,
",2003
R. Kelly,"
,
,
,CD,
,maxi,
,
,
,Digital download","R&B,[1]","
,Length,
,3,:,16, (original version),
3:09 (remix),
6:25 (full version),
","R. Kelly,Viceroy","2002,2002,
2014","November 5, 2002,2 December 2014",Ignition,"Robert Kelly,Robert Kelly",2003
Total,"
,
,
,CD single,
,CD ,maxi single,
,12"",
,cassette,
,
,
","
,
,
,R&B,
,hip hop,
,
,
",,Timbaland,"1996; PatchWerk Recording Studios,
","August 12, 1997",What About Us,"
,
,
,Melissa Elliott,
,Timothy Mosley,
,
,
",1997
Heavy D,"12"",, ,CD",Hip hop,"
,Length,
,4,:,09,
","Heavy D, Tony Dofat",1996 - 1997,18-Feb-97,Big Daddy,Dwight Myers,1997
,,"Mash-up,, ,house,, ,dance","
,Length,
,3,:,08,
","Rich ""DJ Riddler"" Pangilinan,, Bobby Dedic",,Sep-97,The Jock Jam,,1997
Az Yet,"CD, Cassette","R&B,, ,soul",,"Babyface,
,Mervyn Warren",1995,13-Feb-96,Last Night,"Keith Andes, Babyface",1997
R. Kelly,"
,
,
,CD single,
,cassette single,
,
,
","
,
,
,R&B,
,soul,
,gospel,
,
,
","
,Length,
,4,:,55, (album and single version),
4:40 (radio edit),
",R. Kelly,1996,1997,Gotham City,Robert Kelly,1997
Lee Ann Womack,"CD single,, ,Promo-only CD single,, ,7"" vinyl single,CD single","Country pop,Pop","
,Length,
,4,:,54,
","Mark Wright,Steve Mac","September 1999,2004","May 3, 2000,27 September 2004",I Hope You Dance,"Mark D. Sanders,, Tia Sillers,Mark D. Sanders,, Tia Sillers",2001
Mary J. Blige,"
,
,
,12"",
,CD,
,maxi CD,
,
,
","
,
,
,Dance-pop,
,hip hop,
,R&B,
,
,
","
,Length,
,
,
,
,4,:,25,
,4:04 ,(radio edit),
,
,
,
",Dr. Dre,"2001,30","June 12, 2001",Family Affair,"
,
,
,Mary J. Blige,
,Andre Young,
,Bruce Miller,
,Camara Kambon,
,Michael Elizondo,
,
,
",2001
"Ja Rule,Lil' Mo","CD single,, ,cassette,, ,12"" single","East Coast hip hop,, ,R&B","
,Length,
,4,:,23,
","Tru Stylze, ,Irv Gotti",2000,12-Dec-00,Put It on Me,"Jeffrey Atkins,, ,Irving Lorenzo,, Taheem Crocker, Cynthia Loving",2001
Crazy Town,CD single,"Nu metal,[1],[2]","
,Length,
,3,:,36,
","
,
,
,Bret Mazur,
,Josh Abraham,
,
,
",1999,"November 13, 2000",Butterfly,"
,
,
,John Frusciante,
,Bret Mazur,
,Michael ""Flea"" Balzary,
,Seth ""Shifty Shellshock"" Binzer,
,
,
",2001
Dream,"CD,, ,12""","Dance-pop,, ,R&B","
,Length,
,3,:,46,
","David Frank, Steve Kipner","December 1999,41",5-Sep-00,He Loves U Not,"Steve Kipner,, ,David Frank,, ,Pamela Sheyne",2001
Jennifer Lopez,"
,
,
,Cassette,
,CD,
,DVD,
,7"",
,12"",
,
,
","
,
,
,Pop,
,hip hop,
,R&B,
,
,
","
,Length,
,3,:,42,
","
,
,
,Ric Wake,
,Richie Jones,
,Cory Rooney,
,
,
",Aug-00,"December 2, 2000",Love Don't Cost a Thing,"
,
,
,Damon Sharpe,
,Greg Lawson,
,Georgette Franklin,
,Jeremy Monroe,
,Amille D. Harris,
,
,
",2001
Faith Hill,CD single,"
,
,
,Country pop,
,dance-pop,
,adult contemporary,
,
,
","
,Length,
,3,:,07, ,(album version),
3:32 ,(radio remix),
","
,
,
,Byron Gallimore,
,Faith Hill,
,
,
",,29-Feb-00,The Way You Love Me,"
,
,
,Keith Follesé,
,Michael Dulaney,
,
,
",2000
Blink 182,"
,
,
,7"",
,12"",
,CD,
,cassette,
,
,
,
,
,
,CD,
,digital download,
,
,
","
,
,
,Pop punk,
,power pop,
,
,
,pop","
,Length,
,2,:,48,
",Jerry Finn,"19,992,010","January 18, 2000,16 July 2010",All The Small Things,"
,
,
,Tom DeLonge,
,Mark Hoppus,
,
,
,
,
,
,Tom DeLonge,
,Mark Hoppus,
,
,
",2000
Ruff Endz,CD single,R&B,"
,Length,
,4,:,03,
",Edward "Eddie F." Ferrell & Darren Lighty,1999,27-Jun-00,No More,"Edward Ferrell, Clifton Lighty, Darren Lighty, ,Balewa Muhammad",2000
"Ja Rule,Ashanti",CD single,"
,
,
,Hip hop,
,R&B,
,
,
",,Irv Gotti,Spring 2001,30-Oct-01,Always on Time,"
,
,
,Marcus Vest,
,Jeffrey Atkins,
,Irving Lorenzo,
,
,
",2002
"JT Money,Solé","Vinyl,, ,CD",Hip hop,"
,Length,
,3,:,52,
",Christopher "Tricky" Stewart,1998,9-Feb-99,Who Dat,"Jeff Thompkins, Tonya Johnston , Thabiso Nkhereanye, DiAndre Davis",1999
Jewel,,Pop,"
,Length,
,3,:,47, ,(radio edit),
3:54 ,(album version),
",Atlantic,1998,Nov-98,Hands,"Jewel Kilcher,
,Patrick Leonard",1999
Will Smith,"
,
,
,CD single,
,maxi single,
,
,
","
,
,
,Hip hop,
,dance pop,
,
,
","
,Length,
,3,:,18,
","
,
,
,Poke & Tone,
,L.E.S.,
,
,
",1997,"November 23, 1998",Miami,"
,
,
,Ryan Toby,
,Will Smith,
,Leon Sylvers III,
,Stephen Shockley,
,William Shelby,
,
,
",1999
Tal Bachman,"CD,
,Cassette,CD","Pop rock,, ,power pop,Pop rock","
,Length,
,3,:,44,
","Tal Bachman,, ,Bob Rock,Ole Evenrude","1998,Hitsville Studios, , in ","April 20, 1999,February 9, 2003",She's So High,"Tal Bachman,Tal Bachman",1999
Ricky Martin,CD single,Pop,"
,Length,
,4,:,52,
","
,
,
,George Noriega,
,Jon Secada,
,Draco Rosa,
,
,
","1998,19","June 15, 1999",She's All I Ever Had,"
,
,
,George Noriega,
,Jon Secada,
,Draco Rosa,
,
,
",1999
Blaque,"CD single,, ,12""","R&B,, ,hip hop","
,Length,
,5,:,06, (album version),
4:14 (radio edit),
",R. Kelly,1998,4-May-99,808,"R. Kelly,, ,Natina Reed",1999
Matchbox 20,"
,
,
,CD,
,cassette,
,
,
","
,
,
,Alternative rock,
,post-grunge,[2],
,
,
","
,Length,
,5,:,40,
",Matt Serletic,1996,6-Oct-98,Back 2 Good,"
,
,
,Rob Thomas,
,Matt Serletic,
,
,
",1999
50 Cent,"
,
,
,12-inch single,
,CD,
,digital download,
,
,
","Gangsta rap,
,
,
,Hip hop,
,R&B,
,
,
","
,Length,
,3,:,13, ,(album version),
3:12 ,(radio edit),
,4:10 ,(video),
","
,
,
,Dr. Dre,
,Mike Elizondo,
,
,
,Dr. Dre","20,022,003",7-Jan-03,In da Club,"
,
,
,Curtis Jackson,
,Andre Young,
,Mike Elizondo,
,
,
,
,
,
,Curtis Jackson,
,Andre Young,
,Mike Elizondo,
,
,
",2003
B-Rock and the Bizz,"Vinyl,, ,Cassette,, ,CD","Hip hop,, ,Miami bass,, ,Dance-pop","
,Length,
,3,:,34,
",B-Rock,1997,31-Mar-97,My Baby Daddy,"B-Rock, ,Maurice White,, ,Al McKay",1997
Coolio,,"G-funk,, ,West Coast hip hop","
,Length,
,5,:,10,
",Dominic Aldridge,1996,"July 7, 1997",C U When U Get There,"Johann Pachelbel,
Artis Ivey Jr.,
Dominic Aldridge,
Henry Straughter,
Malieek Straughter",1997
OutKast,"
,
,
,12"",
,CD,
,
,
",Alternative hip hop,"
,Length,
,
,
,
,4,:,30, ,(album version),
,4:03 ,(radio edit),
,
,
,
",Earthtone III,2000,3-Oct-00,Ms. Jackson,"
,
,
,André Benjamin,
,Antwan Patton,
,David Sheats,
,Richard Wagner,
,Shuggie Otis,
,
,
",2001
"Christina Aguilera,Lil' Kim,Mýa,Pink","7-inch single,
,
,
,Maxi,
,7"",
,12"",
,
,
,CD single,12"" maxi single","
,
,
,Soul,[1],
,disco,[2],
,
,
,
,
,
,R&B,
,dance-pop,
,disco,
,
,
,
,
,
,Hip hop,
,hip hop soul,
,R&B,
,
,
,[42]","
,Length,
,3,:,56,
","
,
,
,Allen Toussaint,
,Vicki Wickham,
,
,
,Johnny Douglas,, ,Timbaland,
,
,
,Rockwilder,
,Missy Elliott,
,
,
","1974,1987,1997,January 2001","November 5, 1974 ,
November 22, 1974 ,1987,January 27, 1998,March 27, 2001",Lady Marmalade,"
,
,
,Bob Crewe,
,Kenny Nolan,
,
,
,Bob Crewe,, ,Kenny Nolan,
,
,
,Bob Crewe,
,Kenny Nolan,
,
,
,
,
,
,Bob Crewe,
,Kenny Nolan,
,Lil' Kim,
,Missy Elliott,
,
,
",2001
Destiny's Child,"
,
,
,CD maxi single,
,12"" single,
,DVD single,
,
,
","
,
,
,R&B,
,dance-pop,
,
,
","
,Length,
,4,:,14,
","
,
,
,Anthony Dent,
,Beyoncé Knowles,
,
,
","July 2000,47","February 13, 2001",Survivor,"
,
,
,Beyoncé Knowles,
,Anthony Dent,
,Mathew Knowles,
,
,
",2001
City High,"CD5,, ,12""","R&B,, ,hip hop","
,Length,
,3,:,32, (,Life,),
,2,:,54, (,City High,),
",Wyclef Jean,,"
,
24 September, 2001 (,)",What Would You Do?,"Robby Pardlo, ,Ryan Toby,, ,Calvin Broadus,, ,Andre Young,, Brian Bailey, Melvin Bradford, ,David Axelrod",2001
Incubus,,Acoustic rock,,Scott Litt,May–June 1999 in ,20-Nov-00,Drive,"Brandon Boyd,, ,Mike Einziger,, ,Chris Kilmore,, ,Alex Katunich, and ,Jose Pasillas",2001
112,CD,"Electro,-,R&B","
,Length,
,3,:,13,
",Mario Winans & Sean "P. Diddy" Combs,2000,"April 3, 2001",Peaches & Cream,"Daron Jones, Michael Keith, Marvin Scandrick, ,Quinnes Parker,, ,Sean Combs,, ,Mario Winans,, ,Jason ""Poo Bear"" Boyd,, Aljamaal Jones, Courtney Sills",2001
Christina Aguilera,CD single,"
,
,
,Dance-pop,
,R&B,
,
,
","
,Length,
,
,
,
,3,:,09, ,(original version),
,3:23 ,(radio version),
,
,
,
","
,
,
,Ron Fair,
,Celebrity Status,
,
,
","
,
",26-Sep-00,Come On Over Baby (All I Want Is You),"
,
,
,Johan Aberg,
,Paul Rein,
,Christina Aguilera,
,Ron Fair,
,Chaka Blackmon,
,Raymond Cham,
,Eric Dawkins,
,Shelly Peiken,
,Guy Roche,
,
,
",2000
Enrique Iglesias,"
,
,
,CD,
,maxi CD,
,12"",
,
,
","
,
,
,Dance-pop,
,house,
,
,
","
,Length,
,3,:,40,
","
,
,
,Mark Taylor,
,Brian Rawling,
,
,
","Fall 1999; , (,)",24 February 2000,Be with You,"
,
,
,Enrique Iglesias,
,Paul Barry,
,Mark Taylor,
,
,
",2000
Creed,CD,Post-grunge,,"
,
,
,Ron Saint Germain,
,John Kurzweg,
,
,
",1998,"April 24, 2000",With Arms Wide Open,"
,
,
,Scott Stapp,
,Mark Tremonti,
,
,
",2000
Nine Days,"
,
,
,CD single,
,7"",
,
,
","
,
,
,Power pop,
,
,
","
,Length,
,3,:,11,
",Nick DiDia,1999,April 2000,Absolutely (Story of a Girl),"
,
,
,John Hampson,
,Brian Desveaux,
,
,
",2000
Sonique,"
,
,
,12"",
,CD,
,MCD,
,cassette,
,
,
","
,
,
,Electronic,[1],
,trance,
,
,
","
,Length,
,3,:,46,
","
,
,
,Graeme Pleeth,
,Chris Allen,
,Simon Belofsky,
,Sonia Clarke,
,
,
",Sep-98,"1 December 1998,
May 2000 ",It Feels So Good,"
,
,
,Sonia Clarke,
,Linus Burdick,
,Simon Belofsky,
,Graeme Pleeth,
,
,
",2000
BBMak,CD single,Pop rock,"
,Length,
,3,:,24, (single version),
3:50 (radio version),
4:38 (extended version),
","John Shanks,, Oliver Leiber",1999,"April 11, 1999",Back Here,"Mark Barry,, ,Christian Burns,, ,Steven McNally,, ,Phil Thornalley",2000
Avril Lavigne,"
,
,
,CD,
,digital download,
,
,
","Pop rock,[3]","
,Length,
,4,:,04,
",The Matrix,2001,14 May 2002,Complicated,"
,
,
,Avril Lavigne,
,Lauren Christy,
,Scott Spock,
,Graham Edwards,
,
,
",2002
Puddle of Mudd,CD,Post-grunge,"
,Length,
,
,
,
,5,:,04, ,(album version),
,4:17 ,(radio and video version),
,
,
,
",,October – December 2000,"October 30, 2001",Blurry,"
,
,
,Wes Scantlin,
,Doug Ardito,
,Jimmy Allen,
,
,
",2002
Usher,CD,R&B,"
,Length,
,4,:,07,
","Bryan-Michael Cox, Jermaine Dupri",2000,"September 4, 2001 (US)",U Got It Bad,"Jermaine Dupri, Usher, Bryan-Michael Cox",2002
"Fat Joe,Ashanti",CD,"
,
,
,Hip hop,
,R&B,
,
,
",,Irv Gotti,2001,16-Dec-01,What's Luv?,"
,
,
,Jeffrey Atkins,
,Terry Britten,
,Joseph Cartagena,
,Irving Lorenzo,
,Graham Lyle,
,Chink Santana,
,Andre Parker,
,Christopher Rios,
,
,
",2002
K-Ci & JoJo,"Digital download,, ,CD",R&B,"
,Length,
,Main Version ,4,:,38,
Radio Version 3:40,
",,,"April 27, 1999",Tell Me It's Real,"Rory Bennett, ,Cedric R Hailey,, Joel Hailey,",1999
"112,Lil Zane","
,
,
,Cassette,
,CD,
,
,
",R&B,,Daron Jones,1998,"January 28, 1999",Anywhere,"
,
,
,Daron Jones,
,Michael Keith,
,Marvin Scandrick,
,Quinnes Parker,
,Lamont ""Stro"" Maxwell,
,Zane Copeland, Jr.,
,
,
",1999
Shawn Mullins,CD single,"Rock,, ,pop,, ,pop rock,, ,alternative rock","
,Length,
,5,:,31, (Album Version),
4:32 (Radio Edit),
","Peter Collins,, ,Russ Fowler",1994-1998,22-Sep-98,Lullaby,Shawn Mullins,1999
'N Sync,"CD single,CD single","
,
,
,Pop,
,R&B,
,Christian,
,
,
,Country","
,Length,
,
,
,
,4,:,43, ,(Album Version),
,4:04 ,(Radio Version),
,
,
,
","
,
,
,Carl Sturken,
,Evan Rogers,
,
,
,
,
,
,Don Cook,
,Alabama,
,
,
",1997,"February 9, 1999,April 26, 1999",(God Must Have Spent) A Little More Time on You,"
,
,
,Carl Struken,
,Evan Rogers,
,
,
,
,
,
,Carl Sturken,
,Evan Rogers,
,
,
",1999
Whitney Houston,"
,
,
,CD single,
,12"" single,
,
,
",R&B,"
,Length,
,
,
,
,4,:,52,
,4:22 ,(radio edit),
,
,
,
",Darkchild,Oct-98,25-Jan-99,It's Not Right but It's Okay,"
,
,
,LaShawn Daniels,
,Rodney Jerkins,
,Fred Jerkins III,
,Isaac Phillips,
,Toni Estes,
,
,
",1999
Sarah McLachlan,CD single,Pop rock,,Pierre Marchand,Morin Heights,19-Aug-97,Building a Mystery,"Sarah McLachlan,, ,Pierre Marchand",1997
Ginuwine,"CD single,Digital download","
,
,
,R&B,
,hip hop soul,
,
,
,House",,"Timbaland,Tough Love","19,962,015","August 20, 1996,7 August 2015",Pony,"
,
,
,Stephen Garrett,
,Elgin Lumpkin,
,Tim Mosley,
,
,
,
,
,
,Stephen Garrett,
,Elgin Lumpkin,
,Tim Mosley,
,
,
",1997
MC Lyte,"
,
,
,CD single,
,cassette single,
,7"" single,
,12"" single,
,
,
","
,
,
,hip hop,
,pop rap,
,dance-pop,
,
,
","
,Length,
,4,:,17,
","
,
,
,Sean ""Puffy"" Combs, ,(remix),
,Rashad ""Ringo"" Smith, ,(original),
,
,
",1996,12-Nov-96,Cold Rock a Party,Lana Moorer,1997
Sheryl Crow,Maxi single,Pop rock,"
,Length,
,4,:,16,
",Sheryl Crow,1996,8-Nov-96,Everyday Is a Winding Road,"Sheryl Crow,
Jeff Trott,
,Brian MacLeod",1997
Uncle Kracker,,"Country rock, · ,pop rock",,"Kid Rock, · ,Michael Bradford",2000,"February 20, 2001",Follow Me,"Matthew Shafer · ,Michael Bradford",2001
"Nelly,City Spud",CD single,Hip hop,"
,Length,
,
,
,
,4,:,51, ,(album version),
,4:13 ,(radio edit),
,
,
,
",Jason "Jay E" Epperson,2000,"
,
7 May, 2001 (,)",Ride wit Me,"
,
,
,Nelly,
,El DeBarge,
,William DeBarge,
,Jason ""Jay E"" Epperson,
,Steven Bojovich,
,City Spud,
,Joe Islardo,
,
,
",2001
"Shaggy,Rayvon","
,
,CD,
,
","
,
,Reggae fusion,
,R&B,
,
","
,Length,
,
,
,3,:,55, (album version),
,3:31 (radio edit),
,
,
",Shaun Pizzonia,2000,"March 6, 2001",Angel,"Chip Taylor, Steve Miller",2001
"Jagged Edge,Nelly","CD single,, ,12""","R&B,, ,hip hop","
,Length,
,3,:,52,
",Jermaine Dupri,2000,"
,
15 October, 2001 (,)",Where the Party At,"Jermaine Dupri, Brandon Casey, ,Bryan-Michael Cox,, Brian Casey, ,Cornell Hayes",2001
Usher,"Cassette,, ,CD single,, ,12""",R&B,"
,Length,
,4,:,27,
","Edmund ""Butter"" Clement, ,Jimmy Jam and Terry Lewis",2000-01,19-May-01,U Remind Me,"Anita McCloud, Edmund Clement",2001
"Missy Elliott,Nas,Eve,Q-Tip","
,
,
,CD single,
,CD ,maxi single,
,12"",
,cassette,
,
,
","
,
,
,Hip hop,
,R&B,
,
,
","
,Length,
,3,:,47,
",Timbaland,"1998; Master Sound Studios,
","November 9, 1999",Hot Boyz,"
,
,
,Melissa Elliott,
,Timothy Mosley,
,Nasir Jones,
,Eve Jeffers,
,Kamaal Fareed,
,
,
",2000
Backstreet Boys,CD Single,"Pop,, ,R&B,, ,Latin pop","
,Length,
,3,:,55,
","
,
,
,Max Martin,
,Kristian Lundin,
,
,
","October–November 1998,
,,,
,
",21-Dec-99,Show Me the Meaning of Being Lonely,"
,
,
,Max Martin,
,Herbie Crichlow,
,
,
",2000
Blaque,"
,
,
,CD single,
,CD ,maxi single,
,7"" single,
,
,
","
,
,
,Teen pop,
,R&B,
,dance-pop,
,
,
","
,Length,
,
,
,
,3,:,38, ,(album version),
,3:46 ,(single version),
,
,
,
","
,
,
,L.E.S.,
,Cory Rooney,
,
,
",1998,19-Jul-99,Bring It All to Me,"
,
,
,Billy Lawrence,
,Nidra Sylvers,
,LeShan Lewis,
,Linda Van Horssen,
,William Shelby,
,Kevin Spencer,
,Curtis Jackson,
,Violet Ruby,
,Cory Rooney,
,
,
",2000
Nelly,"
,
,
,CD single,
,digital download,
,
,
","
,
,
,Hip hop,
,
,
",,Epperson,1999,"February 29, 2000",Country Grammar (Hot Shit),"
,
,
,Cornell Haynes, Jr.,
,Jason Epperson,
,
,
",2000
Celine Dion,"
,
,
,CD single,
,12"" single,
,
,
",Pop,"
,Length,
,4,:,01,
","
,
,
,Max Martin,
,Kristian Lundin,
,
,
","1998–99,
Paradise Sounds, Cheiron Studios",1 November 1999,That's The Way It Is,"
,
,
,Max Martin,
,Kristian Lundin,
,Andreas Carlsson,
,
,
",2000
Linkin Park,"
,
,
,CD,
,DVD,
,
,
","
,
,
,Nu metal,
,rap rock,
,
,
","
,Length,
,3,:,39, ,(album version),
",Don Gilmore,"2000,
","October 9, 2001",In the End,"
,
,
,Bradford Delson,
,Chester Bennington,
,Joseph Hahn,
,Michael Shinoda,
,Robert Bourdon,
,
,
",2002
